"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",3.7139783184766e-08,1.84300370193923e-08,9.15400576686366e-09,1.006940634355e-08,1.1076346977905e-08,1.21839816756955e-08,1.34023798432651e-08,1.47426178275916e-08,1.62168796103508e-08,1.78385675713858e-08,1.96224243285244e-08,2.15846667613769e-08,2.37431334375146e-08,2.6117446781266e-08,2.87291914593926e-08,3.16021106053319e-08,3.47623216658651e-08,3.82385538324516e-08,4.20624092156967e-08,4.62686501372664e-08,5.08955151509931e-08,5.59850666660924e-08,6.15835733327016e-08,6.77419306659718e-08,7.4516123732569e-08,8.19677361058259e-08,9.01645097164085e-08,9.91809606880493e-08,1.09099056756854e-07,1.2000896243254e-07,1.32009858675794e-07,1.45210844543373e-07,1.5973192899771e-07,1.75705121897481e-07,1.9327563408723e-07,2.12603197495953e-07,2.33863517245548e-07,2.57249868970103e-07,2.82974855867113e-07,3.11272341453824e-07,3.42399575599207e-07,3.76639533159127e-07,4.1430348647504e-07,4.55733835122544e-07,5.01307218634799e-07,5.51437940498279e-07,6.06581734548107e-07,6.67239908002917e-07,7.33963898803209e-07,8.0736028868353e-07,8.88096317551883e-07,9.76905949307071e-07,1.07459654423778e-06,1.18205619866156e-06,1.30026181852771e-06,1.43028800038048e-06,1.57331680041853e-06,1.73064848046039e-06,1.90371332850642e-06,2.09408466135707e-06,2.30349312749277e-06,2.53384244024205e-06,2.78722668426626e-06,3.06594935269288e-06,3.37254428796217e-06,3.70979871675839e-06,4.08077858843423e-06,4.48885644727765e-06,4.93774209200542e-06,5.43151630120596e-06,5.97466793132656e-06,6.57213472445921e-06,7.22934819690513e-06,7.95228301659565e-06,8.74751131825521e-06,9.62226245008073e-06,1.05844886950888e-05,1.16429375645977e-05,1.28072313210575e-05,1.40879544531632e-05,1.54967498984795e-05,1.70464248883275e-05,1.87510673771602e-05,2.06261741148763e-05,2.26887915263639e-05,2.49576706790003e-05,2.74534377469003e-05,3.01987815215903e-05,3.32186596737494e-05,3.65405256411243e-05,4.01945782052367e-05,4.42140360257604e-05,4.86354396283365e-05,5.34989835911701e-05,5.88488819502871e-05,6.47337701453159e-05,7.12071471598474e-05,7.83278618758322e-05,8.61606480634154e-05,9.4776712869757e-05,0.000104254384156733
"24-29",1.91152777852217e-06,9.48565788510332e-07,4.7071094924284e-07,2.52643916173007e-07,2.77908307790307e-07,3.05699138569338e-07,3.36269052426272e-07,3.69895957668899e-07,4.06885553435789e-07,4.47574108779368e-07,4.92331519657305e-07,5.41564671623036e-07,5.95721138785339e-07,6.55293252663873e-07,7.2082257793026e-07,7.92904835723287e-07,8.72195319295615e-07,9.59414851225177e-07,1.05535633634769e-06,1.16089196998246e-06,1.27698116698071e-06,1.40467928367878e-06,1.54514721204666e-06,1.69966193325133e-06,1.86962812657646e-06,2.05659093923411e-06,2.26225003315752e-06,2.48847503647327e-06,2.7373225401206e-06,3.01105479413265e-06,3.31216027354592e-06,3.64337630090051e-06,4.00771393099056e-06,4.40848532408962e-06,4.84933385649858e-06,5.33426724214844e-06,5.86769396636329e-06,6.45446336299962e-06,7.09990969929958e-06,7.80990066922954e-06,8.59089073615249e-06,9.44997980976774e-06,1.03949777907445e-05,1.1434475569819e-05,1.25779231268009e-05,1.3835715439481e-05,1.52192869834291e-05,1.6741215681772e-05,1.84153372499492e-05,2.02568709749441e-05,2.22825580724385e-05,2.45108138796823e-05,2.69618952676506e-05,2.96580847944156e-05,3.26238932738572e-05,3.58862826012429e-05,3.94749108613672e-05,4.34224019475039e-05,4.77646421422543e-05,5.25411063564798e-05,5.77952169921277e-05,6.35747386913405e-05,6.99322125604746e-05,7.6925433816522e-05,8.46179771981743e-05,9.30797749179917e-05,0.000102387752409791,0.00011262652765077,0.000123889180415847,0.000136278098457432,0.000149905908303175,0.000164896499133492,0.000181386149046842,0.000199524763951526,0.000219477240346678,0.000241424964381346,0.000265567460819481,0.000292124206901429,0.000321336627591572,0.000353470290350729,0.000388817319385802,0.000427699051324382,0.000470468956456821,0.000517515852102503,0.000569267437312753,0.000626194181044028,0.000688813599148431,0.000757694959063274,0.000833464454969602,0.000916810900466562,0.00100849199051322,0.00110934118956454,0.00122027530852099,0.00134230283937309,0.0014765331233104,0.00162418643564144,0.00178660507920559,0.00196526558712615,0.00216179214583876,0.00237797136042264,0.0026157684964649
"30-35",2.61136195285894e-06,1.29584756116627e-06,6.4304410192625e-07,3.36155132927112e-07,3.69770646219823e-07,4.06747710841805e-07,4.47422481925986e-07,4.92164730118584e-07,5.41381203130443e-07,5.95519323443487e-07,6.55071255787836e-07,7.2057838136662e-07,7.92636219503281e-07,8.7189984145361e-07,9.59089825598971e-07,1.05499880815887e-06,1.16049868897475e-06,1.27654855787223e-06,1.40420341365945e-06,1.5446237550254e-06,1.69908613052794e-06,1.86899474358073e-06,2.05589421793881e-06,2.26148363973269e-06,2.48763200370596e-06,2.73639520407655e-06,3.01003472448421e-06,3.31103819693263e-06,3.64214201662589e-06,4.00635621828848e-06,4.40699184011733e-06,4.84769102412906e-06,5.33246012654197e-06,5.86570613919617e-06,6.45227675311579e-06,7.09750442842736e-06,7.8072548712701e-06,8.58798035839711e-06,9.44677839423682e-06,1.03914562336605e-05,1.14306018570266e-05,1.25736620427292e-05,1.38310282470021e-05,1.52141310717024e-05,1.67355441788726e-05,1.84090985967599e-05,2.02500084564358e-05,2.22750093020794e-05,2.45025102322874e-05,2.69527612555161e-05,2.96480373810677e-05,3.26128411191745e-05,3.58741252310919e-05,3.94615377542011e-05,4.34076915296213e-05,4.77484606825834e-05,5.25233067508417e-05,5.77756374259259e-05,6.35532011685185e-05,6.99085212853703e-05,7.68993734139074e-05,8.45893107552981e-05,9.3048241830828e-05,0.000102353066013911,0.000112588372615302,0.000123847209876832,0.000136231930864515,0.000149855123950967,0.000164840636346063,0.00018132469998067,0.000199457169978737,0.000219402886976611,0.000241343175674272,0.000265477493241699,0.000292025242565869,0.000321227766822456,0.000353350543504701,0.000388685597855171,0.000427554157640689,0.000470309573404757,0.000517340530745233,0.000569074583819757,0.000625982042201732,0.000688580246421906,0.000757438271064096,0.000833182098170506,0.000916500307987557,0.00100815033878631,0.00110896537266494,0.00121986190993144,0.00134184810092458,0.00147603291101704,0.00162363620211874,0.00178599982233062,0.00196459980456368,0.00216105978502005,0.00237716576352206,0.00261488233987426,0.00287637057386169,0.00316400763124786,0.00348040839437264
"36-47",7.76452917178533e-05,3.85302626464585e-05,1.91200407231352e-05,9.48802141861213e-06,5.00164196972996e-06,5.50180616670296e-06,6.05198678337326e-06,6.65718546171058e-06,7.32290400788164e-06,8.0551944086698e-06,8.86071384953679e-06,9.74678523449047e-06,1.07214637579395e-05,1.17936101337335e-05,1.29729711471068e-05,1.42702682618175e-05,1.56972950879992e-05,1.72670245967992e-05,1.89937270564791e-05,2.0893099762127e-05,2.29824097383397e-05,2.52806507121737e-05,2.7808715783391e-05,3.05895873617302e-05,3.36485460979032e-05,3.70134007076935e-05,4.07147407784628e-05,4.47862148563091e-05,4.92648363419401e-05,5.41913199761341e-05,5.96104519737475e-05,6.55714971711223e-05,7.21286468882345e-05,7.93415115770579e-05,8.72756627347637e-05,9.60032290082401e-05,0.000105603551909064,0.000116163907099971,0.000127780297809968,0.000140558327590964,0.000154614160350061,0.000170075576385067,0.000187083134023574,0.000205791447425931,0.000226370592168524,0.000249007651385377,0.000273908416523914,0.000301299258176306,0.000331429183993936,0.00036457210239333,0.000401029312632663,0.000441132243895929,0.000485245468285522,0.000533770015114075,0.000587147016625482,0.00064586171828803,0.000710447890116833,0.000781492679128517,0.000859641947041368,0.000945606141745505,0.00104016675592006,0.00114418343151206,0.00125860177466327,0.0013844619521296,0.00152290814734255,0.00167519896207681,0.00184271885828449,0.00202699074411294,0.00222968981852423,0.00245265880037666,0.00269792468041432,0.00296771714845576,0.00326448886330133,0.00359093774963147,0.00395003152459461,0.00434503467705408,0.00477953814475948,0.00525749195923543,0.00578324115515897,0.00636156527067487,0.00699772179774236,0.0076974939775166,0.00846724337526826,0.00931396771279508,0.0102453644840746,0.0112699009324821,0.0123968910257303,0.0136365801283033,0.0150002381411336,0.016500261955247,0.0181502881507717,0.0199653169658489,0.0219618486624337,0.0241580335286771,0.0265738368815448,0.0292312205696993,0.0321543426266693,0.0353697768893362,0.0389067545782698,0.0427974300360968,0.0470771730397065
"48-59",0.000459399578418738,0.000227969861720234,0.000113126481377334,5.61372485478876e-05,2.78572323310916e-05,1.67104083040316e-05,1.83814491344347e-05,2.02195940478782e-05,2.2241553452666e-05,2.44657087979326e-05,2.69122796777259e-05,2.96035076454985e-05,3.25638584100483e-05,3.58202442510532e-05,3.94022686761585e-05,4.33424955437743e-05,4.76767450981518e-05,5.24444196079669e-05,5.76888615687636e-05,6.345774772564e-05,6.9803522498204e-05,7.67838747480244e-05,8.44622622228269e-05,9.29084884451096e-05,0.000102199337289621,0.000112419271018583,0.000123661198120441,0.000136027317932485,0.000149630049725733,0.000164593054698307,0.000181052360168138,0.000199157596184951,0.000219073355803446,0.000240980691383791,0.00026507876052217,0.000291586636574387,0.000320745300231826,0.000352819830255009,0.00038810181328051,0.000426911994608561,0.000469603194069417,0.000516563513476358,0.000568219864823994,0.000625041851306394,0.000687546036437033,0.000756300640080737,0.00083193070408881,0.000915123774497691,0.00100663615194746,0.00110729976714221,0.00121802974385643,0.00133983271824207,0.00147381599006628,0.00162119758907291,0.0017833173479802,0.00196164908277822,0.00215781399105604,0.00237359539016164,0.00261095492917781,0.00287205042209559,0.00315925546430515,0.00347518101073566,0.00382269911180923,0.00420496902299015,0.00462546592528917,0.00508801251781808,0.00559681376959989,0.00615649514655988,0.00677214466121587,0.00744935912733746,0.0081942950400712,0.00901372454407832,0.00991509699848616,0.0109066066983348,0.0119972673681683,0.0131969941049851,0.0145166935154836,0.0159683628670319,0.0175651991537351,0.0193217190691087,0.0212538909760195,0.0233792800736215,0.0257172080809836,0.028288928889082,0.0311178217779902,0.0342296039557892,0.0376525643513681,0.041417820786505,0.0455596028651555,0.050115563151671,0.0551271194668381,0.0606398314135219,0.0667038145548741,0.0733741960103615,0.0807116156113977,0.0887827771725375,0.0976610548897912,0.10742716037877,0.118169876416647,0.129986864058312,0.142985550464143
"60-71",0.00147638587517711,0.00073263341896899,0.00036355788524853,0.000180409919209512,8.95256031290109e-05,4.44256815297693e-05,2.96601877845881e-05,3.26262065630469e-05,3.58888272193516e-05,3.94777099412867e-05,4.34254809354154e-05,4.7768029028957e-05,5.25448319318527e-05,5.7799315125038e-05,6.35792466375418e-05,6.99371713012959e-05,7.69308884314255e-05,8.46239772745681e-05,9.30863750020249e-05,0.000102395012502227,0.00011263451375245,0.000123897965127695,0.000136287761640465,0.000149916537804511,0.000164908191584962,0.000181399010743459,0.000199538911817804,0.000219492802999585,0.000241442083299543,0.000265586291629498,0.000292144920792448,0.000321359412871692,0.000353495354158862,0.000388844889574748,0.000427729378532223,0.000470502316385445,0.000517552548023989,0.000569307802826389,0.000626238583109027,0.00068886244141993,0.000757748685561923,0.000833523554118116,0.000916875909529927,0.00100856350048292,0.00110941985053121,0.00122036183558433,0.00134239801914277,0.00147663782105704,0.00162430160316275,0.00178673176347902,0.00196540493982693,0.00216194543380962,0.00237813997719058,0.00261595397490964,0.0028775493724006,0.00316530430964066,0.00348183474060473,0.0038300182146652,0.00421302003613172,0.0046343220397449,0.00509775424371939,0.00560752966809133,0.00616828263490046,0.0067851108983905,0.00746362198822956,0.00820998418705251,0.00903098260575777,0.00993408086633354,0.0109274889529669,0.0120202378482636,0.0132222616330899,0.0145444877963989,0.0159989365760388,0.0175988302336427,0.019358713257007,0.0212945845827077,0.0234240430409785,0.0257664473450763,0.028343092079584,0.0311774012875424,0.0342951414162966,0.0377246555579262,0.0414971211137189,0.0456468332250908,0.0502115165475999,0.0552326682023598,0.0607559350225958,0.0668315285248554,0.073514681377341,0.0808661495150751,0.0889527644665826,0.0978480409132409,0.107632845004565,0.118396129505021,0.130235742455524,0.143259316701076,0.157585248371184,0.173343773208302,0.190678150529132,0.209745965582045,0.23072056214025
"72-83",0.00275519132528714,0.00136722063960187,0.000678461876747719,0.000336676103963789,0.000167070255330477,8.29060033889214e-05,4.11408086037084e-05,3.00786133609387e-05,3.30864746970325e-05,3.63951221667358e-05,4.00346343834094e-05,4.40380978217503e-05,4.84419076039254e-05,5.32860983643179e-05,5.86147082007497e-05,6.44761790208247e-05,7.09237969229072e-05,7.80161766151979e-05,8.58177942767177e-05,9.43995737043894e-05,0.000103839531074828,0.000114223484182311,0.000125645832600542,0.000138210415860597,0.000152031457446656,0.000167234603191322,0.000183958063510454,0.0002023538698615,0.00022258925684765,0.000244848182532415,0.000269333000785656,0.000296266300864222,0.000325892930950644,0.000358482224045708,0.000394330446450279,0.000433763491095307,0.000477139840204838,0.000524853824225322,0.000577339206647854,0.000635073127312639,0.000698580440043903,0.000768438484048294,0.000845282332453123,0.000929810565698435,0.00102279162226828,0.00112507078449511,0.00123757786294462,0.00136133564923908,0.00149746921416299,0.00164721613557929,0.00181193774913722,0.00199313152405094,0.00219244467645603,0.00241168914410163,0.0026528580585118,0.00291814386436298,0.00320995825079928,0.0035309540758792,0.00388404948346712,0.00427245443181384,0.00469969987499522,0.00516966986249474,0.00568663684874422,0.00625530053361864,0.00688083058698051,0.00756891364567856,0.00832580501024641,0.00915838551127105,0.0100742240623982,0.011081646468638,0.0121898111155018,0.013408792227052,0.0147496714497572,0.0162246385947329,0.0178471024542062,0.0196318126996268,0.0215949939695895,0.0237544933665484,0.0261299427032032,0.0287429369735236,0.0316172306708759,0.0347789537379635,0.0382568491117599,0.0420825340229359,0.0462907874252295,0.0509198661677524,0.0560118527845277,0.0616130380629804,0.0677743418692785,0.0745517760562063,0.082006953661827,0.0902076490280097,0.0992284139308107,0.109151255323892,0.120066380856281,0.132073018941909,0.1452803208361,0.15980835291971,0.175789188211681,0.193368107032849,0.212704917736134
"84-95",0.00334850214049544,0.00166164185993845,0.000824563806398283,0.000409176903407578,0.00020304764407928,0.000100759220334288,5.00001885193487e-05,2.48118121962051e-05,1.93158054060677e-05,2.12473859466744e-05,2.33721245413419e-05,2.57093369954761e-05,2.82802706950237e-05,3.11082977645261e-05,3.42191275409787e-05,3.76410402950766e-05,4.14051443245842e-05,4.55456587570426e-05,5.01002246327469e-05,5.51102470960216e-05,6.06212718056238e-05,6.66833989861861e-05,7.33517388848048e-05,8.06869127732852e-05,8.87556040506138e-05,9.76311644556751e-05,0.000107394280901243,0.000118133708991367,0.000129947079890504,0.000142941787879554,0.000157235966667509,0.00017295956333426,0.000190255519667686,0.000209281071634455,0.000230209178797901,0.000253230096677691,0.00027855310634546,0.000306408416980006,0.000337049258678006,0.000370754184545807,0.000407829603000388,0.000448612563300427,0.000493473819630469,0.000542821201593516,0.000597103321752868,0.000656813653928155,0.00072249501932097,0.000794744521253068,0.000874218973378374,0.000961640870716212,0.00105780495778783,0.00116358545356662,0.00127994399892328,0.00140793839881561,0.00154873223869717,0.00170360546256688,0.00187396600882357,0.00206136260970593,0.00226749887067652,0.00249424875774418,0.00274367363351859,0.00301804099687045,0.0033198450965575,0.00365182960621325,0.00401701256683457,0.00441871382351803,0.00486058520586983,0.00534664372645682,0.0058813080991025,0.00646943890901275,0.00711638279991403,0.00782802107990543,0.00861082318789597,0.00947190550668557,0.0104190960573541,0.0114610056630895,0.0126071062293985,0.0138678168523384,0.0152545985375722,0.0167800583913294,0.0184580642304624,0.0203038706535086,0.0223342577188594,0.0245676834907454,0.0270244518398199,0.0297268970238019,0.0326995867261821,0.0359695453988003,0.0395664999386804,0.0435231499325484,0.0478754649258033,0.0526630114183836,0.057929312560222,0.0637222438162442,0.0700944681978686,0.0771039150176555,0.084814306519421,0.0932957371713631,0.102625310888499,0.112887841977349,0.124176626175084
"96-107",0.0042532816515896,0.0021106245532648,0.00104736445167683,0.00051973824190544,0.0002579119805589,0.00012798478994339,6.35104519819423e-05,3.15160693136639e-05,1.56393568930367e-05,1.26605122024539e-05,1.39265634226993e-05,1.53192197649693e-05,1.68511417414662e-05,1.85362559156128e-05,2.03898815071741e-05,2.24288696578915e-05,2.46717566236807e-05,2.71389322860487e-05,2.98528255146536e-05,3.2838108066119e-05,3.61219188727309e-05,3.9734110760004e-05,4.37075218360044e-05,4.80782740196048e-05,5.28861014215653e-05,5.81747115637218e-05,6.3992182720094e-05,7.03914009921034e-05,7.74305410913138e-05,8.51735952004452e-05,9.36909547204897e-05,0.000103060050192539,0.000113366055211793,0.000124702660732972,0.000137172926806269,0.000150890219486896,0.000165979241435586,0.000182577165579144,0.000200834882137059,0.000220918370350764,0.000243010207385841,0.000267311228124425,0.000294042350936867,0.000323446586030554,0.00035579124463361,0.000391370369096971,0.000430507406006668,0.000473558146607335,0.000520913961268068,0.000573005357394875,0.000630305893134362,0.000693336482447799,0.000762670130692579,0.000838937143761837,0.00092283085813802,0.00101511394395182,0.001116625338347,0.00122828787218171,0.00135111665939988,0.00148622832533986,0.00163485115787385,0.00179833627366124,0.00197816990102736,0.0021759868911301,0.0023935855802431,0.00263294413826742,0.00289623855209416,0.00318586240730357,0.00350444864803393,0.00385489351283732,0.00424038286412106,0.00466442115053316,0.00513086326558648,0.00564394959214513,0.00620834455135964,0.00682917900649561,0.00751209690714517,0.00826330659785969,0.00908963725764565,0.00999860098341022,0.0109984610817512,0.0120983071899264,0.013308137908919,0.0146389516998109,0.016102846869792,0.0177131315567712,0.0194844447124483,0.0214328891836932,0.0235761781020625,0.0259337959122687,0.0285271755034956,0.0313798930538452,0.0345178823592297,0.0379696705951527,0.0417666376546679,0.0459433014201347,0.0505376315621482,0.055591394718363,0.0611505341901993,0.0672655876092193,0.0739921463701412
"108-119",0.00487730784217378,0.0024202877986403,0.00120102999806474,0.000595992367957957,0.000295751898983781,0.000146762258134626,7.28284771350048e-05,3.61399936824258e-05,1.7933907102638e-05,8.89942114523531e-06,7.3516690003429e-06,8.0868359003772e-06,8.89551949041492e-06,9.78507143945641e-06,1.07635785834021e-05,1.18399364417423e-05,1.30239300859165e-05,1.43263230945081e-05,1.5758955403959e-05,1.73348509443548e-05,1.90683360387903e-05,2.09751696426694e-05,2.30726866069363e-05,2.53799552676299e-05,2.79179507943929e-05,3.07097458738322e-05,3.37807204612155e-05,3.7158792507337e-05,4.08746717580707e-05,4.49621389338778e-05,4.94583528272656e-05,5.44041881099921e-05,5.98446069209914e-05,6.58290676130905e-05,7.24119743743995e-05,7.96531718118395e-05,8.76184889930235e-05,9.63803378923258e-05,0.000106018371681558,0.000116620208849714,0.000128282229734686,0.000141110452708154,0.00015522149797897,0.000170743647776867,0.000187818012554553,0.000206599813810009,0.00022725979519101,0.000249985774710111,0.000274984352181122,0.000302482787399234,0.000332731066139157,0.000366004172753073,0.00040260459002838,0.000442865049031219,0.00048715155393434,0.000535866709327774,0.000589453380260552,0.000648398718286607,0.000713238590115268,0.000784562449126795,0.000863018694039475,0.000949320563443422,0.00104425261978776,0.00114867788176654,0.00126354566994319,0.00138990023693751,0.00152889026063127,0.00168177928669439,0.00184995721536383,0.00203495293690022,0.00223844823059024,0.00246229305364926,0.00270852235901419,0.00297937459491561,0.00327731205440717,0.00360504325984788,0.00396554758583267,0.00436210234441594,0.00479831257885754,0.00527814383674329,0.00580595822041762,0.00638655404245938,0.00702520944670532,0.00772773039137585,0.00850050343051344,0.00935055377356478,0.0102856091509213,0.0113141700660134,0.0124455870726147,0.0136901457798762,0.0150591603578638,0.0165650763936502,0.0182215840330152,0.0200437424363168,0.0220481166799484,0.0242529283479433,0.0266782211827376,0.0293460433010114,0.0322806476311125,0.0355087123942238,0.0390595836336461
